SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,Colombia (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,0.5509124,0.54843105625,0.5459497125,0.54346836875,0.540987025,0.53850568125,0.5360243375,0.53354299375,0.53106165,0.528438,0.5208134799999999,0.51318896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COM,,,,,,Comoros,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5592444,0.548652878,0.5380613559999999,0.527469834,0.516878312,0.50628679,0.4956952679999999,0.485103746,0.474512224,0.463920702,0.45332918,,,,,,,,,
,COG,,,,,,Congo,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4732929,0.4759726433333333,0.4786523866666666,0.4813321299999999,0.4840118733333333,0.4866916166666666,0.48937136,,,,,,,,,,,,
,CRI,,,,,,Costa Rica,,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.47494763,0.448786318,0.422625006,0.396463694,0.370302382,0.34414107,0.3809848466666666,0.4178286233333333,0.4546724,0.45215893,0.46555334,0.4564088,0.45928076,0.4670296,0.45660135,0.46479103,0.45579028,0.45638052,0.4763139,0.47410414,0.515062,0.51812834,0.49300545,0.4841771,0.47510344,0.4928061,0.4931286,0.48640883,0.5055479,0.48043102,0.4875928,0.4841734,0.49151823,0.4863214,0.48374,0.48704153,0.4834524,0.47970015,0.4818988,0.4924514,0.48678052,0.47151324,0.46729344
,CIV,,,,,,Cote d'Ivoire,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,0.45521352,0.37969762,0.4050912,0.36886287,0.3751026525,0.381342435,0.3875822175,0.393822,0.39776074,0.40169948,0.40563822,0.4002835566666666,0.3949288933333333,0.38957423,0.393796683,0.398019136,0.402241589,0.406464042,0.410686495,0.414908948,0.419131401,0.423353854,0.427576307,0.43179876,0.4293544628571428,0.4269101657142857,0.4244658685714285,0.4220215714285714,0.4195772742857143,0.4171329771428571,0.41468868,0.40035537,0.38602206,0.37168875,0.3653770466666666,0.3590653433333333,0.35275364,,
,HRV,,,,,,Croatia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22780727,0.2324610619047619,0.2371148538095238,0.2417686457142857,0.2464224376190476,0.2510762295238095,0.2557300214285714,0.2603838133333333,0.2650376052380953,0.2696913971428571,0.274345189047619,0.2789989809523809,0.2836527728571428,0.2883065647619047,0.2929603566666666,0.2976141485714286,0.3022679404761905,0.3069217323809524,0.3115755242857143,0.3162293161904762,0.3208831080952381,0.3255369,0.32373103,0.32254267,0.324717,0.3199227,0.32102978,0.31113166,0.30897906,0.30352312,0.29728642,0.28908294,0.29543322,0.28895962,,
,CYP,,,,,,Cyprus,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30089056,0.30259413,0.31125963,0.31113273,0.31708607,0.32108265,0.3145779,0.326255,0.34312433,0.37041834,0.35565287,0.33966377,0.32891682,0.31416234,0.32739753,0.3122325,0.31727943,0.3125177,,
,CZE,,,,,,Czechia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20703283,0.2655349,0.2630199666666666,0.2605050333333333,0.2579901,0.25925024,0.26051038,0.26177052,0.26303066,0.2642908,0.26555094,0.27044137,0.2753318,0.26946017,0.26744118,0.25998646,0.26280212,0.26156676,0.26623514,0.26381272,0.26109937,0.26473904,0.25923222,0.25867426,0.25406334,0.2485221,0.24990341,0.25262198,0.26245132,0.26202103,,
,COD,,,,,,Democratic Republic of Congo,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41642156,0.4169633625,0.417505165,0.4180469675,0.41858877,0.4191305724999999,0.419672375,0.4202141775,0.42075598,0.42400462375,0.4272532675,0.43050191125,0.433750555,0.43699919875,0.4402478425,0.44349648625,0.44674513,,,
,DNK,,,,,,Denmark,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.26232305,0.25924046,0.25615787,0.25307528,0.24999269,0.2469101,0.2411263866666666,0.2353426733333333,0.22955896,0.231179808,0.232800656,0.234421504,0.2360423519999999,0.2376632,0.2438788999999999,0.2500946,0.2563103,0.24911784,0.2518638,0.25913078,0.26184258,0.2524627,0.26701188,0.2719856,0.27311745,0.2779075,0.28542534,0.2835288,0.28177238,0.28187442,0.28746662,0.2816572,0.27723306,0.27503932,0.28323486,,
